nama_makanan,label,energi_kkal,protein_g,lemak_g,karbohidrat_g
Abon,Lauk Pauk,280,9.2,28.4,0.0
Abon haruwan,Lauk Pauk,513,23.7,37.0,21.3
Agar-agar,Lauk Pauk,0,0.0,0.2,0.0
Akar tonjong segar,Lauk Pauk,45,1.1,0.4,10.8
Aletoge segar,Sayur Mayur,37,4.4,0.5,3.8
Alpukat segar,Lauk Pauk,85,0.9,6.5,7.7
Ampas kacang hijau,Lauk Pauk,96,3.7,0.6,19.1
Ampas Tahu,Lauk Pauk,414,26.6,18.3,41.3
Ampas tahu kukus,Lauk Pauk,75,4.1,2.1,10.7
Ampas tahu mentah,Lauk Pauk,67,5.0,2.1,8.1
Anak sapi daging gemuk segar,Lauk Pauk,184,18.8,14.0,0.0
Anak sapi daging kurus segar,Lauk Pauk,174,19.6,10.0,0.0
Anak sapi daging sedang segar,Lauk Pauk,190,19.1,12.0,0.0
Andaliman segar,Lauk Pauk,99,4.6,1.0,18.0
Andewi,Lauk Pauk,25,1.6,0.2,5.3
Anggur hutan segar,Buah,30,0.5,0.2,6.8
Angsa,Lauk Pauk,354,16.4,31.5,0.0
Anyang sayur,Sayur Mayur,126,3.4,7.9,10.3
Apel,Buah,58,0.3,0.4,14.9
Apel malang segar,Buah,57,0.5,0.4,12.8
Arbei,Lauk Pauk,37,0.8,0.5,8.3
Ares sayur,Sayur Mayur,113,0.9,7.2,11.2
Arrowroot segar,Lauk Pauk,102,1.0,0.2,24.1
Arwan sirsir,Lauk Pauk,277,2.4,25.0,10.7
Asam kandis segar,Lauk Pauk,75,0.2,1.1,16.1
Asam masak di pohon,Lauk Pauk,239,2.8,0.6,62.5
Asam payak segar,Lauk Pauk,135,0.8,0.4,32.1
Asan kandis kering,Lauk Pauk,261,0.9,1.6,63.3
Asinan Bogor sayuran,Sayur Mayur,98,3.9,2.6,14.8
Ayam,Lauk Pauk,302,18.2,25.0,0.0
Ayam  goreng Kentuckysayap,Lauk Pauk,297,35.9,15.2,1.6
Ayam ampela goreng,Lauk Pauk,270,32.3,11.2,9.9
Ayam dideh/darah segar,Lauk Pauk,75,13.8,1.9,0.7
Ayam goreng church texa sayap,Lauk Pauk,295,34.0,16.0,1.5
Ayam goreng church texas dada,Lauk Pauk,338,35.2,20.6,0.4
Ayam goreng kalasan paha,Lauk Pauk,275,37.4,12.2,1.3
Ayam goreng kentucky dada,Lauk Pauk,298,34.2,16.8,0.1
Ayam goreng Kentucky paha,Lauk Pauk,286,32.1,16.1,1.1
Ayam goreng mbok berek dada,Lauk Pauk,295,39.2,13.6,1.0
Ayam goreng paha,Lauk Pauk,287,31.0,15.7,1.7
Ayam goreng pasundan dada,Lauk Pauk,246,37.9,9.0,0.7
Ayam goreng pasundan paha,Lauk Pauk,245,33.1,11.4,0.3
Ayam goreng pioneer dada,Lauk Pauk,295,37.4,14.7,0.6
Ayam goreng sukabumi dada,Lauk Pauk,244,36.7,9.2,1.0
Ayam goreng sukabumi paha,Lauk Pauk,283,35.7,14.3,0.5
Ayam hati segar,Lauk Pauk,261,27.4,16.1,1.6
Ayam taliwang masakan,Lauk Pauk,264,18.2,20.1,2.7
Ayam usus goreng,Lauk Pauk,473,45.2,26.3,13.9
Babat,Lauk Pauk,113,17.6,4.2,0.0
Babi daging gemuk segar,Lauk Pauk,453,11.9,45.0,0.0
Babi daging kurus segar,Lauk Pauk,371,14.1,35.0,0.0
Babi ginjal segar,Lauk Pauk,110,16.3,4.6,0.8
Babi hati segar,Lauk Pauk,129,19.7,4.8,1.7
Babi hutan masak rica masakan,Lauk Pauk,491,24.6,16.3,0.2
Bacang,Lauk Pauk,102,3.3,2.7,16.3
Bagea kelapa asin,Lauk Pauk,450,3.2,13.9,78.1
Bagea kelapa manis,Lauk Pauk,452,1.3,13.8,80.6
Bagea kenari asin,Lauk Pauk,529,3.2,29.1,63.6
Bagea kenari manis,Lauk Pauk,523,3.2,28.2,64.2
Bagea kw 1,Lauk Pauk,416,6.5,9.4,76.3
Bagea kw 2,Lauk Pauk,382,0.3,3.5,87.2
Baje,Lauk Pauk,129,1.9,6.6,15.6
Bakpia kue,Makanan Ringan,272,8.7,6.7,44.1
Bakso ,Lauk Pauk,76,4.1,2.5,9.2
Bakung segar,Lauk Pauk,27,2.0,0.2,4.2
Bakwan,Lauk Pauk,280,8.2,10.2,39.0
Baligo,Lauk Pauk,13,0.4,0.2,3.0
Bantal,Lauk Pauk,190,3.3,0.3,43.5
Barongko,Lauk Pauk,159,3.1,5.8,23.5
Batang Tading,Lauk Pauk,137,4.3,4.8,19.1
Batar daan,Lauk Pauk,107,2.2,2.2,19.6
Batatas gembili segar,Lauk Pauk,76,1.1,0.9,16.0
Batatas kelapa ubi bakar,Makanan Pokok,110,1.4,1.1,23.4
Batatas kelapa ubi kukus,Makanan Pokok,92,1.2,0.3,21.0
Batatas kelapa ubi segar,Makanan Pokok,89,1.1,0.1,21.0
Batatas tali ubi rebus,Makanan Pokok,182,2.4,0.4,42.2
Bawang Bombay,Lauk Pauk,45,1.4,0.2,10.3
Bawang Merah,Lauk Pauk,39,1.5,0.3,0.2
Bawang Putih,Lauk Pauk,95,4.5,0.2,23.1
Bayam kukus,Lauk Pauk,30,1.3,0.7,5.8
Bayam Merah,Lauk Pauk,51,4.6,0.5,10.0
Bayam merah segar,Lauk Pauk,41,2.2,0.8,6.3
Bayam rebus,Lauk Pauk,23,1.2,0.6,3.7
Bayam segar,Lauk Pauk,36,3.5,0.5,6.5
Bayam tumis + oncom,Lauk Pauk,102,3.7,6.7,6.9
Bayam tumis bersantan,Lauk Pauk,48,1.4,4.2,2.6
Bebek (itik),Lauk Pauk,326,16.0,28.6,0.0
Bebek alabio daging segar,Lauk Pauk,303,11.3,27.0,3.7
Bebek daging goreng,Lauk Pauk,300,24.0,20.7,4.5
Beberuk,Lauk Pauk,65,1.1,5.2,3.5
Beef burger,Lauk Pauk,258,10.6,9.5,32.5
Beef teriyaki masakan,Lauk Pauk,151,8.6,3.1,22.3
